dataset,model,epsilon,N,alpha0,lambda_l1,lmaj_factor,total_updates,sampling_policy,selection_label
breast,erm,,,0.015,0.0,,4200,clean,final_selected
breast,direct,0.15,1,0.0075,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,1,0.004,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.15,2,0.01,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,2,0.004,0.003,1.5,4200,uniform_iid_nested,final_selected
breast,direct,0.15,4,0.005,0.0001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,4,0.0025,0.0001,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.15,8,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,8,0.0025,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.15,16,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,16,0.0025,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.25,1,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,1,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.25,2,0.0075,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,2,0.0015,0.0,1.5,4200,uniform_iid_nested,final_selected
breast,direct,0.25,4,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,4,0.001,0.0,1.5,4200,uniform_iid_nested,final_selected
breast,direct,0.25,8,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,8,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.25,16,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,16,0.001,0.003,1.05,4200,uniform_iid_nested,final_selected
breast,direct,0.35,1,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,1,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,2,0.005,0.0001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,2,0.0015,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,4,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,4,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,8,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,8,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,16,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,16,0.001,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.15,64,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,64,0.008,0.001,0.75,4200,uniform_iid_nested,final_selected
breast,direct,0.15,256,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.15,256,0.008,0.001,0.75,4200,uniform_iid_nested,final_selected
breast,direct,0.25,64,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,64,0.004,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.25,256,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.25,256,0.004,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,64,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,64,0.004,0.003,1.01,4200,uniform_iid_nested,final_selected
breast,direct,0.35,256,0.005,0.001,,4200,uniform_iid_nested,final_selected
breast,majorant,0.35,256,0.004,0.003,1.01,4200,uniform_iid_nested,final_selected
