split_seed,epsilon,N,check,pass,direct_value,majorant_value
20000517,0.15,1,bank_hash,True,878a922393571c2f,878a922393571c2f
20000517,0.15,1,bank_seed,True,20001294.0,20001294.0
20000517,0.15,1,inner_steps_per_stage,True,500,500
20000517,0.15,1,actual_update_count,True,500,500
20000517,0.15,1,init_w_norm,True,0.0,0.0
20000517,0.15,1,init_b,True,0.0,0.0
20000517,0.15,1,x_box,True,1.0,1.0
20000517,0.15,1,m_groups,True,5,5
20000517,0.15,1,eps_tol_k,True,0.1,0.1
20000517,0.15,1,mu_k,True,0.0721347520444481,0.0721347520444481
20000517,0.15,2,bank_hash,True,08cad879d6be4645,08cad879d6be4645
20000517,0.15,2,bank_seed,True,20001294.0,20001294.0
20000517,0.15,2,inner_steps_per_stage,True,500,500
20000517,0.15,2,actual_update_count,True,1000,1000
20000517,0.15,2,init_w_norm,True,0.0,0.0
20000517,0.15,2,init_b,True,0.0,0.0
20000517,0.15,2,x_box,True,1.0,1.0
20000517,0.15,2,m_groups,True,5,5
20000517,0.15,2,eps_tol_k,True,0.09,0.09
20000517,0.15,2,mu_k,True,0.0649212768400033,0.0649212768400033
20000517,0.15,4,bank_hash,True,9e79323302b9ea2b,9e79323302b9ea2b
20000517,0.15,4,bank_seed,True,20001294.0,20001294.0
20000517,0.15,4,inner_steps_per_stage,True,500,500
20000517,0.15,4,actual_update_count,True,1500,1500
20000517,0.15,4,init_w_norm,True,0.0,0.0
20000517,0.15,4,init_b,True,0.0,0.0
20000517,0.15,4,x_box,True,1.0,1.0
20000517,0.15,4,m_groups,True,5,5
20000517,0.15,4,eps_tol_k,True,0.081,0.081
20000517,0.15,4,mu_k,True,0.0292145745780015,0.0292145745780015
20000517,0.15,8,bank_hash,True,d0daf823d9cdc5c6,d0daf823d9cdc5c6
20000517,0.15,8,bank_seed,True,20001294.0,20001294.0
20000517,0.15,8,inner_steps_per_stage,True,500,500
20000517,0.15,8,actual_update_count,True,2000,2000
20000517,0.15,8,init_w_norm,True,0.0,0.0
20000517,0.15,8,init_b,True,0.0,0.0
20000517,0.15,8,x_box,True,1.0,1.0
20000517,0.15,8,m_groups,True,5,5
20000517,0.15,8,eps_tol_k,True,0.0729,0.0729
20000517,0.15,8,mu_k,True,0.0175287447468009,0.0175287447468009
20000517,0.15,16,bank_hash,True,a9c8b0af4f91315c,a9c8b0af4f91315c
20000517,0.15,16,bank_seed,True,20001294.0,20001294.0
20000517,0.15,16,inner_steps_per_stage,True,500,500
20000517,0.15,16,actual_update_count,True,2500,2500
20000517,0.15,16,init_w_norm,True,0.0,0.0
20000517,0.15,16,init_b,True,0.0,0.0
20000517,0.15,16,x_box,True,1.0,1.0
20000517,0.15,16,m_groups,True,5,5
20000517,0.15,16,eps_tol_k,True,0.06561,0.06561
20000517,0.15,16,mu_k,True,0.0118319027040906,0.0118319027040906
20000517,0.25,1,bank_hash,True,df97b3d9ed329574,df97b3d9ed329574
20000517,0.25,1,bank_seed,True,20001294.0,20001294.0
20000517,0.25,1,inner_steps_per_stage,True,500,500
20000517,0.25,1,actual_update_count,True,500,500
20000517,0.25,1,init_w_norm,True,0.0,0.0
20000517,0.25,1,init_b,True,0.0,0.0
20000517,0.25,1,x_box,True,1.0,1.0
20000517,0.25,1,m_groups,True,5,5
20000517,0.25,1,eps_tol_k,True,0.1,0.1
20000517,0.25,1,mu_k,True,0.0721347520444481,0.0721347520444481
20000517,0.25,2,bank_hash,True,118a9f2abf617b99,118a9f2abf617b99
20000517,0.25,2,bank_seed,True,20001294.0,20001294.0
20000517,0.25,2,inner_steps_per_stage,True,500,500
20000517,0.25,2,actual_update_count,True,1000,1000
20000517,0.25,2,init_w_norm,True,0.0,0.0
20000517,0.25,2,init_b,True,0.0,0.0
20000517,0.25,2,x_box,True,1.0,1.0
20000517,0.25,2,m_groups,True,5,5
20000517,0.25,2,eps_tol_k,True,0.09,0.09
20000517,0.25,2,mu_k,True,0.0649212768400033,0.0649212768400033
20000517,0.25,4,bank_hash,True,de016f2c9e53d33b,de016f2c9e53d33b
20000517,0.25,4,bank_seed,True,20001294.0,20001294.0
20000517,0.25,4,inner_steps_per_stage,True,500,500
20000517,0.25,4,actual_update_count,True,1500,1500
20000517,0.25,4,init_w_norm,True,0.0,0.0
20000517,0.25,4,init_b,True,0.0,0.0
20000517,0.25,4,x_box,True,1.0,1.0
20000517,0.25,4,m_groups,True,5,5
20000517,0.25,4,eps_tol_k,True,0.081,0.081
20000517,0.25,4,mu_k,True,0.0292145745780015,0.0292145745780015
20000517,0.25,8,bank_hash,True,2e5f5fd4d4b9581a,2e5f5fd4d4b9581a
20000517,0.25,8,bank_seed,True,20001294.0,20001294.0
20000517,0.25,8,inner_steps_per_stage,True,500,500
20000517,0.25,8,actual_update_count,True,2000,2000
20000517,0.25,8,init_w_norm,True,0.0,0.0
20000517,0.25,8,init_b,True,0.0,0.0
20000517,0.25,8,x_box,True,1.0,1.0
20000517,0.25,8,m_groups,True,5,5
20000517,0.25,8,eps_tol_k,True,0.0729,0.0729
20000517,0.25,8,mu_k,True,0.0175287447468009,0.0175287447468009
